Stream,Type,Original Unit,HXN unit,H_in (kJ),H_out (kJ)
0,Cold,D401 - boiler,Util_0_hs,80256583.1890798,170032417.61994755
1,Cold,D404 - boiler,HX_6_1_cs,50306850.3040873,209775328.5571285
2,Cold,F402 - heat exchanger,HX_7_2_cs,30390250.031463146,31740219.368520677
2,Cold,F402 - heat exchanger,HX_11_2_cs,31740232.228135046,31854573.511823513
2,Cold,F402 - heat exchanger,HX_12_2_cs,31854589.627356987,33342135.81631621
2,Cold,F402 - heat exchanger,HX_15_2_cs,33342239.402345035,33535878.18519126
2,Cold,F402 - heat exchanger,Util_2_cs,33535999.522124656,107759359.82939392
2,Cold,F402 - heat exchanger,HX_2_7_hs,107759359.82939392,112883250.05860695
2,Cold,F402 - heat exchanger,HX_2_11_hs,112873106.23006555,113320369.56776209
2,Cold,F402 - heat exchanger,HX_2_12_hs,113319240.3294729,137515034.0655934
2,Cold,F402 - heat exchanger,HX_2_14_hs,137515034.8576663,162488961.6237796
2,Cold,F402 - heat exchanger,HX_2_15_hs,162488927.1442835,163797056.49233615
2,Cold,F402 - heat exchanger,Util_2_hs,163797521.3369681,217401058.75846392
3,Cold,D403 - boiler,Util_3_hs,280773738.90694714,576101130.1285965
4,Cold,D402 - boiler,HX_7_4_cs,178673605.9826688,190877984.84632552
4,Cold,D402 - boiler,HX_11_4_cs,190888670.845913,190981504.1022492
4,Cold,D402 - boiler,HX_12_4_cs,190994302.9354409,192321485.67315608
4,Cold,D402 - boiler,HX_15_4_cs,192340062.20627353,192507179.59659767
4,Cold,D402 - boiler,Util_4_cs,192529883.38073823,368650753.021965
4,Cold,D402 - boiler,HX_4_11_hs,368650753.021965,368656504.02384937
4,Cold,D402 - boiler,HX_4_12_hs,368656515.02684164,368735087.4662724
4,Cold,D402 - boiler,HX_4_15_hs,368735101.16499096,368873313.8771128
4,Cold,D402 - boiler,Util_4_hs,368873238.5889493,578388301.9072211
5,Cold,F401 - heat exchanger,HX_6_5_cs,86361032.26434042,109021125.79635012
5,Cold,F401 - heat exchanger,HX_7_5_cs,109021125.79635012,109571202.48449379
5,Cold,F401 - heat exchanger,HX_11_5_cs,109571202.48449379,109631950.02018245
5,Cold,F401 - heat exchanger,HX_12_5_cs,109631950.02018245,110559601.67624056
5,Cold,F401 - heat exchanger,HX_15_5_cs,110559601.67624056,110613528.15494043
5,Cold,F401 - heat exchanger,Util_5_cs,110613528.15494043,522809441.80976367
5,Cold,F401 - heat exchanger,Util_5_hs,522809441.80976367,907321973.6150804
6,Hot,F401_H,HX_6_1_cs,892579287.9000366,733110809.6469936
6,Hot,F401_H,HX_6_5_cs,733110908.3476019,710450814.815592
6,Hot,F401_H,Util_6_cs,710663217.453596,102992745.26120822
7,Hot,F402_H1,HX_2_7_hs,208938344.40424955,203814454.17514092
7,Hot,F402_H1,HX_7_2_cs,203814454.17514092,202464484.83780485
7,Hot,F402_H1,HX_7_4_cs,202464484.83780485,190260105.9710087
7,Hot,F402_H1,HX_7_5_cs,190260105.9710087,189710029.28286505
7,Hot,F402_H1,Util_7_cs,189709942.1330132,22988557.07238211
8,Hot,D402 - condenser,Util_8_cs,332399911.4096382,149339983.580533
9,Hot,D404 - condenser,Util_9_cs,171773279.8533189,37082428.40412478
10,Hot,D402_H,Util_10_cs,123074132.89158326,15521970.800037973
11,Hot,H201,HX_2_11_hs,71619227.07570824,71171963.73802337
11,Hot,H201,HX_4_11_hs,71171963.73802337,71166212.73296292
11,Hot,H201,HX_11_2_cs,71166212.73296292,71051871.44892631
11,Hot,H201,HX_11_4_cs,71051871.44892631,70959038.18883093
11,Hot,H201,HX_11_5_cs,70959038.18883093,70898290.6531625
11,Hot,H201,Util_11_cs,70898290.6531625,8212493.857247529
12,Hot,D403_H,HX_2_12_hs,47679351.34548324,23483557.609354284
12,Hot,D403_H,HX_4_12_hs,23483557.609354284,23404985.165965367
12,Hot,D403_H,HX_12_2_cs,23404834.08718363,21917287.898222182
12,Hot,D403_H,HX_12_4_cs,21917287.898222182,20590105.155067112
12,Hot,D403_H,HX_12_5_cs,20590105.155067112,19662453.49902091
12,Hot,D403_H,Util_12_cs,19662453.49902091,7269255.5702017825
13,Hot,D401_H,Util_13_cs,33203960.880836852,3845398.615044007
14,Hot,D403 - condenser,HX_2_14_hs,81232155.89107187,56258229.124959394
15,Hot,F402_H2,HX_2_15_hs,8462714.354220504,7154585.006155843
15,Hot,F402_H2,HX_4_15_hs,7154585.006155843,7016372.294086419
15,Hot,F402_H2,HX_15_2_cs,7016064.477743415,6822425.694894634
15,Hot,F402_H2,HX_15_4_cs,6822425.694894634,6655308.304570468
15,Hot,F402_H2,HX_15_5_cs,6655308.304570468,6601381.825882103
15,Hot,F402_H2,Util_15_cs,6601381.825882103,4056872.1644620653
